uploads,subscribers,video_views,social_blade_rank,subscriber_rank,video_views_rank,country_rank,channel_type_rank,subscribers_last_30_days,video_views_last_30_days,percentage_subscribed_last_30_days,percentage_video_views_last_30_days,average_views_per_video,average_views_per_subscriber,channel_age,average_views_per_day
1689.0,57400.0,70053416.0,377679.0,2860.0,171563.0,68.0,2352.0,500.0,546151.0,0.008710801393728223,0.007796207967931214,41476.26761397276,1220.442787456446,,
84.0,165.0,2441915.0,331724.0,14130.0,2148026.0,1497.0,7432.0,33.0,794340.0,0.2,0.32529387796053505,29070.416666666668,14799.484848484848,,
1952.0,35600.0,25977445.0,382714.0,3463.0,394649.0,108.0,2462.0,600.0,574640.0,0.016853932584269662,0.022120728193246102,13308.11731557377,729.703511235955,,
401.0,81800.0,51249119.0,396158.0,2547.0,224888.0,44.0,1594.0,700.0,448965.0,0.008557457212713936,0.008760443277083457,127803.28927680798,626.517347188264,,
1119.0,102000.0,43551654.0,389890.0,2303.0,258486.0,37.0,1658.0,1000.0,611679.0,0.00980392156862745,0.014044908604389629,38920.15549597855,426.977,,
1087.0,77300.0,52881746.0,408541.0,2601.0,219043.0,46.0,1511.0,300.0,497295.0,0.0038809831824062097,0.009403906595671028,48649.26034958602,684.1105562742562,,
672.0,145000.0,174114941.0,415051.0,2179.0,74434.0,25.0,1362.0,1000.0,491459.0,0.006896551724137931,0.002822612448865029,259099.61458333334,1200.7926965517242,,
69.0,58000.0,4887760.0,428435.0,2858.0,1367234.0,66.0,2212.0,2700.0,469169.0,0.04655172413793104,0.09598855099268376,70837.10144927536,84.27172413793103,,
110.0,11100.0,8325640.0,259088.0,7185.0,943737.0,247.0,,1380.0,1155000.0,0.12432432432432433,0.1387280737576931,75687.63636363637,750.0576576576576,,
10.0,3230.0,3279951.0,423048.0,11130.0,1769118.0,565.0,,400.0,493187.0,0.1238390092879257,0.1503641365374056,327995.1,1015.464705882353,,
126.0,14500.0,13910749.0,433711.0,6234.0,643131.0,216.0,3139.0,300.0,437785.0,0.020689655172413793,0.031470986932479336,110402.76984126984,959.362,,
53.0,1170.0,21619.0,428267.0,13115.0,3508141.0,758.0,4190.0,10.0,17484.0,0.008547008547008548,0.8087330588833896,407.9056603773585,18.477777777777778,,
94.0,8340.0,5679344.0,430224.0,7980.0,1222393.0,303.0,2850.0,290.0,453162.0,0.03477218225419664,0.07979125758186156,60418.55319148936,680.9764988009592,,
569.0,18100.0,25926843.0,429730.0,5419.0,394953.0,186.0,2454.0,200.0,468992.0,0.011049723756906077,0.018089051567134494,45565.62917398946,1432.42226519337,,
440.0,57600.0,41484342.0,458420.0,2859.0,268848.0,67.0,2351.0,400.0,386444.0,0.006944444444444444,0.009315418333018275,94282.59545454546,720.2142708333333,,
62.0,59100.0,30527673.0,505959.0,2838.0,345581.0,63.0,1904.0,200.0,257155.0,0.00338409475465313,0.008423668584238308,492381.82258064515,516.5426903553299,,
571.0,8950.0,3658001.0,471133.0,7806.0,1650964.0,287.0,3532.0,440.0,391872.0,0.049162011173184354,0.1071273627317215,6406.306479859895,408.71519553072625,,
134.0,3940.0,429242.0,456042.0,10482.0,3602121.0,511.0,,90.0,17789.0,0.02284263959390863,0.041442822463785,3203.2985074626868,108.94467005076142,,
1332.0,54100.0,44506472.0,490082.0,2916.0,253501.0,74.0,2249.0,300.0,403891.0,0.005545286506469501,0.009074882412607317,33413.26726726727,822.6704621072089,,
1516.0,21600.0,12762006.0,457312.0,4846.0,686425.0,169.0,2020.0,600.0,415643.0,0.027777777777777776,0.032568782681970214,8418.20976253298,590.8336111111112,,
583.0,30200.0,19015934.0,423964.0,3817.0,505153.0,122.0,2541.0,400.0,488556.0,0.013245033112582781,0.025691927622382368,32617.382504288165,629.6666887417218,,
2881.0,27600.0,23438929.0,441637.0,4062.0,427997.0,138.0,2577.0,400.0,435801.0,0.014492753623188406,0.018593042369811352,8135.692120791392,849.2365579710145,,
132.0,16500.0,4081430.0,526131.0,5779.0,1525541.0,201.0,,200.0,237342.0,0.012121212121212121,0.05815167723077451,30919.924242424244,247.35939393939395,,
12.0,7390.0,5718108.0,482923.0,8378.0,1232301.0,341.0,3327.0,270.0,415487.0,0.036535859269282815,0.07266162164128415,476509.0,773.7629228687415,,
88.0,1040.0,547055.0,492460.0,13364.0,3542017.0,827.0,,595.0,356134.0,0.5721153846153846,0.6510021844238696,6216.534090909091,526.0144230769231,,
1268.0,24300.0,12487432.0,490510.0,4443.0,699229.0,151.0,2233.0,300.0,335010.0,0.012345679012345678,0.026827773716805826,9848.132492113564,513.8860905349794,,
17.0,6360.0,11083129.0,507217.0,8840.0,761378.0,379.0,3842.0,110.0,289569.0,0.01729559748427673,0.026127007995666206,651948.7647058824,1742.6303459119497,,
61.0,29100.0,17034254.0,519790.0,3921.0,549404.0,126.0,2231.0,400.0,284248.0,0.013745704467353952,0.01668684757195707,279250.0655737705,585.3695532646049,,
342.0,2630.0,1523614.0,501413.0,11707.0,2643910.0,620.0,4840.0,370.0,322393.0,0.14068441064638784,0.2115975568615148,4455.011695906433,579.3209125475286,,
202.0,426000.0,22268852.0,517525.0,1848.0,445103.0,6.0,1445.0,,318793.0,,0.014315645907566317,110241.84158415842,52.27430046948357,,
183.0,3030.0,1131000.0,585493.0,11395.0,2963340.0,590.0,,640.0,216780.0,0.21122112211221122,0.1916710875331565,6180.327868852459,373.26732673267327,,
167.0,17500.0,16119841.0,558072.0,5562.0,573314.0,192.0,3035.0,300.0,233483.0,0.017142857142857144,0.014484199937207818,96525.99401197604,921.1337714285714,,
2649.0,11700.0,8490331.0,518576.0,7034.0,925955.0,240.0,2942.0,300.0,308216.0,0.02564102564102564,0.03630200047559983,3205.107965269913,725.6693162393162,,
4.0,4610.0,11114626.0,559482.0,9949.0,758267.0,460.0,3170.0,90.0,198995.0,0.019522776572668113,0.017903886284612727,2778656.5,2410.9817787418656,,
153.0,42600.0,62109921.0,524005.0,3270.0,190347.0,92.0,2382.0,100.0,298712.0,0.002347417840375587,0.004809408789941948,405947.1960784314,1457.979366197183,,
5.0,7760.0,3593512.0,517598.0,8225.0,1665731.0,323.0,2936.0,330.0,329834.0,0.04252577319587629,0.09178597427808784,718702.4,463.0814432989691,,
404.0,47200.0,80867629.0,542682.0,3148.0,151274.0,84.0,2330.0,200.0,288205.0,0.00423728813559322,0.0035639105976508845,200167.3985148515,1713.2972245762712,,
225.0,938.0,4130962.0,447466.0,13348.0,1529889.0,819.0,6650.0,20.0,500086.0,0.021321961620469083,0.1210580005335319,18359.83111111111,4404.01066098081,,
17.0,8160.0,4867546.0,472526.0,8081.0,1372358.0,313.0,3645.0,620.0,439005.0,0.07598039215686274,0.09019021083724735,286326.23529411765,596.5129901960785,,
41.0,941.0,472199.0,514919.0,13400.0,3608239.0,849.0,5768.0,406.0,327420.0,0.4314558979808714,0.6933940986744995,11517.048780487805,501.80552603613177,,
2743.0,14400.0,33113600.0,21367.0,6234.0,323059.0,19.0,3139.0,6700.0,26572000.0,0.4652777777777778,0.8024497487437185,12072.037914691944,2299.5555555555557,,
61.0,2070.0,669775.0,357071.0,12216.0,3359737.0,92.0,,,1010.0,,0.0015079690940987644,10979.918032786885,323.56280193236717,,
5126.0,16100.0,17181501.0,396173.0,5878.0,546646.0,16.0,2808.0,500.0,534090.0,0.031055900621118012,0.031085177016839216,3351.8339836129535,1067.1739751552795,,
9.0,149000.0,26993727.0,482921.0,2173.0,382051.0,1.0,,1000.0,348255.0,0.006711409395973154,0.012901330742509176,2999303.0,181.16595302013422,,
220.0,98500.0,35356485.0,506174.0,2347.0,306752.0,3.0,1799.0,800.0,350429.0,0.008121827411167513,0.009911307642713918,160711.29545454544,358.94908629441625,,
130.0,124000.0,6012894.0,509599.0,2221.0,1175301.0,2.0,1753.0,5000.0,336500.0,0.04032258064516129,0.055963068698699825,46253.03076923077,48.49108064516129,,
107.0,3250.0,926455.0,516595.0,11130.0,3157395.0,69.0,4624.0,490.0,338801.0,0.15076923076923077,0.36569612123632556,8658.457943925234,285.06307692307695,,
140.0,9720.0,11591795.0,583231.0,7594.0,735785.0,26.0,3041.0,230.0,221191.0,0.023662551440329218,0.019081686658537354,82798.53571428571,1192.571502057613,,
3.0,221.0,245415.0,691895.0,14068.0,3791104.0,329.0,,63.0,79841.0,0.2850678733031674,0.32533056251655357,81805.0,1110.475113122172,,
3844.0,14900.0,9872604.0,644667.0,6146.0,829139.0,18.0,2247.0,100.0,180266.0,0.006711409395973154,0.018259215096645222,2568.315296566077,662.5908724832215,,
252.0,8810.0,4203196.0,672878.0,7836.0,1496572.0,30.0,3494.0,220.0,129448.0,0.024971623155505107,0.030797516937111663,16679.349206349205,477.0937570942111,,
205.0,20700.0,16145721.0,697843.0,4958.0,572179.0,8.0,2146.0,100.0,107778.0,0.004830917874396135,0.006675329023708511,78759.61463414635,779.9865217391305,,
